step,elapsed,train_loss,val_loss,val_acc
0,0.056,2.0568940554323287,1.6875037662153962,0.6875
1,0.061,1.3461714762957686,1.0012384305582185,0.8541666666666666
2,0.067,0.7953310325524159,0.6240637829422607,0.875
3,0.073,0.5255875740241126,0.455853083735874,0.8993055555555556
4,0.081,0.3971761232945733,0.36827700011280423,0.9270833333333334
5,0.088,0.32330308206266917,0.3251732669750249,0.9236111111111112
6,0.094,0.27146872928333954,0.2892929543894447,0.9305555555555556
7,0.101,0.24309349384966034,0.25626204953826687,0.9340277777777778
8,0.108,0.2144328662293079,0.24313617812845323,0.9375
9,0.115,0.19715003398836378,0.22181072459101706,0.9409722222222222
10,0.122,0.1814629547766551,0.2274283359995266,0.9340277777777778
11,0.129,0.16790663236879222,0.19936640626385277,0.9513888888888888
12,0.136,0.15659850019443844,0.1938405785308416,0.9513888888888888
13,0.143,0.14868495185875105,0.19012447220974046,0.9479166666666666
14,0.15,0.1378866069111447,0.1850449726436267,0.9548611111111112
15,0.156,0.13079108824666077,0.1811209299637263,0.9548611111111112
16,0.161,0.12460526224322067,0.17589149453287983,0.9548611111111112
17,0.166,0.11730087543352805,0.17221824475192943,0.9548611111111112
18,0.171,0.11269376243103459,0.17140765935001628,0.9513888888888888
19,0.176,0.1106633707259693,0.16383564260470226,0.9548611111111112
20,0.181,0.10458283756180359,0.16099788427120465,0.9548611111111112
21,0.186,0.09986986622209287,0.1599665153386308,0.9618055555555556
22,0.191,0.09749407332637237,0.15877555980569225,0.9548611111111112
23,0.196,0.09274356865065589,0.15652691921194611,0.9513888888888888
24,0.201,0.08932672963972485,0.15560030330085586,0.9583333333333334
25,0.206,0.08627886319626749,0.1492199645549326,0.9583333333333334
26,0.211,0.08519480447006772,0.1480762091837438,0.9618055555555556
27,0.216,0.08166002158117974,0.15068950978349646,0.9583333333333334
28,0.221,0.07713993363861699,0.15201575874380258,0.9548611111111112
29,0.226,0.07512337786583953,0.1460691877064289,0.9583333333333334
