step,train_loss,val_loss,val_acc
0,1.9102680436432158,1.4626669455670378,0.7951388888888888
1,1.1474873805512698,0.8567613053505604,0.8576388888888888
2,0.6980491998421501,0.571712186860709,0.8888888888888888
3,0.4897778794997061,0.4371073480562855,0.9166666666666666
4,0.38327069295590327,0.3554463769608617,0.9305555555555556
5,0.31764711922909156,0.3077190349679437,0.9305555555555556
6,0.27336252447957904,0.2826881488663617,0.9340277777777778
7,0.2377157660134439,0.25573687090985925,0.9340277777777778
8,0.21678846279225747,0.2400764717413057,0.9340277777777778
9,0.19650962186739612,0.22556078257413179,0.9444444444444444
10,0.1789875602315613,0.2190481830279166,0.9444444444444444
11,0.17126622391528312,0.20843019519039088,0.9444444444444444
12,0.15734647796620138,0.19492087171087266,0.9548611111111112
13,0.14828785229120747,0.18707854500635382,0.9479166666666666
14,0.13876554411543351,0.18408475280033856,0.9548611111111112
15,0.1319195147849871,0.17754679338351964,0.9513888888888888
16,0.12617144346568404,0.17334335712233137,0.9548611111111112
17,0.12106347305725113,0.17923888571189397,0.9513888888888888
18,0.1141559695375541,0.1737864320086854,0.9583333333333334
19,0.10774980424183694,0.16663660960816454,0.9618055555555556
20,0.10499177858653055,0.16248965804150278,0.9583333333333334
21,0.09984013691522267,0.15640118657654695,0.9618055555555556
22,0.09700793074941434,0.15640158698435946,0.9548611111111112
23,0.09324916030623781,0.1535432592504753,0.9583333333333334
24,0.08881749404042683,0.16385041116495774,0.9618055555555556
25,0.08724817863650774,0.15122842456230934,0.9618055555555556
26,0.0840910092879225,0.14838593600395353,0.9583333333333334
27,0.08209851957469895,0.14981606712520723,0.9548611111111112
28,0.07942693138072471,0.15477026952090267,0.9548611111111112
29,0.07741211171073757,0.1458152960106986,0.9583333333333334
