step,train_loss,val_loss,val_acc
0,1.3888239603752277,0.49119360747502466,0.8854166666666666
1,0.31414411500286815,0.2609488097506049,0.9166666666666666
2,0.18538022495067502,0.23285815313060423,0.9270833333333334
3,0.16022886781813747,0.16337563939999078,0.9652777777777778
4,0.11497763465604773,0.17458683940329392,0.9583333333333334
5,0.10115039463415272,0.15030826655697624,0.96875
6,0.07456290701389162,0.15924894372215354,0.9583333333333334
7,0.07299309483657763,0.15724892868969778,0.9513888888888888
8,0.06052812067012076,0.15195224513338082,0.9583333333333334
9,0.055598242718579015,0.158373055031393,0.9618055555555556
10,0.0530572626046736,0.16769999529421298,0.9583333333333334
11,0.041732083332854907,0.14456840751595823,0.96875
12,0.04745278779565279,0.14861603686431576,0.9756944444444444
13,0.044057650915460406,0.1360012535426609,0.96875
14,0.036040603543077004,0.16174947097722064,0.9583333333333334
15,0.029627347380465154,0.13805863575860305,0.9652777777777778
16,0.02696302920407251,0.1397211658787401,0.96875
17,0.02707750365839474,0.14424393946153957,0.9722222222222222
18,0.023434413917800823,0.1461339241416424,0.9618055555555556
19,0.021271956186227788,0.13961397335143852,0.9722222222222222
20,0.02140995359412091,0.1344906317528517,0.9756944444444444
21,0.019289143038736065,0.13580047908534845,0.9722222222222222
22,0.019602619867923186,0.14469405438519298,0.9722222222222222
23,0.017727684086504544,0.14678057695553173,0.9722222222222222
24,0.015865244153407166,0.14708212163397322,0.96875
25,0.018053201625638903,0.14037573177544918,0.96875
26,0.016041852576569177,0.13330665461035313,0.9756944444444444
27,0.014625974345309961,0.13976830602484192,0.9618055555555556
28,0.014272902983017801,0.14262586038408906,0.9756944444444444
29,0.012817019308923115,0.13476829838478835,0.9722222222222222
